Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-1540.611	-1899.318	358.7072	0.6328052	0.822028	0.122751	0.0428833	0.0123381	1.446168	1.148045
6	-1542.205	-1901.191	358.9858	0.6328052	0.765369	0.16183	0.0565355	0.016266	1.484127	0.8237494
12	-1542.806	-1901.616	358.8102	0.6359663	0.75373	0.169857	0.0593399	0.0170729	1.61931	0.869117
18	-1535.824	-1894.474	358.6497	0.5351176	0.775847	0.183757	0.0228229	0.0175738	1.920866	0.8254477
24	-1540.17	-1899.034	358.8633	0.6893834	0.877259	0.0826742	0.0238057	0.0162612	1.583687	0.7743361
30	-1547.681	-1906.744	359.0627	0.5657999	0.80302	0.138941	0.0277251	0.0303147	1.514498	0.7743361
36	-1548.356	-1907.167	358.8111	0.5413425	0.69644	0.203251	0.0703752	0.0299344	1.367241	1.2093
42	-1536.026	-1894.92	358.8944	0.6328258	0.787693	0.113942	0.0645079	0.0338566	1.413671	1.00326
48	-1538.927	-1897.929	359.0012	0.5742423	0.740297	0.182766	0.0606263	0.0163113	1.399439	0.9717986
54	-1539.013	-1898.049	359.0365	0.590648	0.755223	0.193264	0.0407092	0.0108035	1.430426	0.8810778
60	-1548.177	-1907.024	358.8466	0.6452952	0.818027	0.0919818	0.0646986	0.0252923	1.677957	0.7281952
66	-1534.132	-1893.034	358.9018	0.5784821	0.778588	0.119574	0.0732158	0.0286218	1.693067	0.7281952
72	-1533.139	-1892.037	358.898	0.5662029	0.833799	0.0993511	0.0608329	0.0060166	1.615479	0.8563023
78	-1532.489	-1891.541	359.0526	0.5560671	0.809281	0.0964296	0.0933335	0.000955472	1.440272	0.8925953
84	-1546.174	-1905.303	359.1283	0.5149141	0.74591	0.198106	0.0550929	0.000890398	1.42907	0.8665807
90	-1533.199	-1891.828	358.6294	0.6603674	0.740576	0.230494	0.0270862	0.00184386	1.52517	1.120836
96	-1522.003	-1880.829	358.826	0.6027451	0.793437	0.166509	0.0382531	0.00180117	1.706939	0.782298
102	-1526.991	-1885.862	358.8707	0.6027451	0.840296	0.12656	0.0290754	0.00406878	1.714257	0.7023487
108	-1529.015	-1887.959	358.9445	0.6527885	0.802082	0.123277	0.0611241	0.0135171	1.587677	0.7023487
114	-1519.998	-1878.786	358.7879	0.602626	0.809673	0.0902137	0.0868127	0.013301	1.844658	0.5992851
120	-1524.04	-1882.781	358.7407	0.602626	0.787927	0.102726	0.104737	0.0046107	1.905569	0.4579737
126	-1525.976	-1884.502	358.5257	0.6414283	0.90869	0.0695817	0.0195742	0.00215434	2.072899	0.4309016
132	-1518.316	-1876.569	358.2523	0.750145	0.836078	0.0640215	0.098396	0.00150451	2.183207	0.3478801
138	-1542.909	-1901.273	358.3645	0.7763858	0.7857	0.0966653	0.115363	0.00227165	2.062138	0.3720457
144	-1537.221	-1895.596	358.375	0.7471781	0.789048	0.0947084	0.113028	0.00321533	2.119568	0.4646161
150	-1532.369	-1891.133	358.7647	0.5619569	0.695726	0.201644	0.101774	0.000855629	1.924428	0.4600398
156	-1528.448	-1887.351	358.9028	0.6296086	0.811571	0.114367	0.0736369	0.000424835	1.585657	0.8041866
162	-1519.895	-1878.609	358.7146	0.612048	0.788914	0.161574	0.0441633	0.00534914	1.687825	0.928116
168	-1511.277	-1870.145	358.8687	0.5798532	0.791708	0.158401	0.0432962	0.00659421	1.493913	1.004379
174	-1521.175	-1880.106	358.9307	0.6355002	0.832079	0.148558	0.0143784	0.00498417	1.607797	0.7225228
180	-1529.275	-1888.064	358.7888	0.6481197	0.843736	0.145608	0.00584012	0.00481578	1.597791	0.9035669
186	-1540.23	-1899.087	358.8569	0.5713164	0.692725	0.284272	0.0114017	0.0116015	1.817582	0.5671859
192	-1529.217	-1888.25	359.0331	0.5614861	0.671409	0.300737	0.0160673	0.0117869	1.470856	0.8734059
198	-1529.957	-1889.037	359.08	0.496285	0.77555	0.187387	0.0280643	0.00899837	1.46028	0.9075171
204	-1532.856	-1891.507	358.6512	0.496285	0.72804	0.19818	0.0552638	0.018516	1.645647	1.145881
210	-1528.762	-1887.577	358.8152	0.5675223	0.761814	0.163516	0.0642143	0.0104559	1.787894	0.7331919
216	-1534.988	-1893.83	358.8423	0.5185697	0.770384	0.161455	0.0649367	0.00322374	1.787894	0.767867
222	-1523.569	-1882.376	358.8076	0.5482576	0.737576	0.150215	0.109209	0.00299932	1.65739	0.9324269
228	-1509.964	-1868.827	358.8632	0.5326023	0.761014	0.191441	0.0457335	0.00181177	1.5317	1.020755
234	-1524.526	-1883.213	358.6868	0.5326023	0.745094	0.229402	0.0231784	0.00232621	1.486308	1.221297
240	-1514.63	-1873.154	358.5239	0.5709112	0.704001	0.265034	0.0281403	0.00282419	1.609758	1.221297
246	-1527.003	-1885.614	358.6111	0.6417893	0.897455	0.063738	0.0347064	0.00410014	1.55255	1.130398
252	-1536.715	-1895.576	358.8608	0.6654264	0.82001	0.120272	0.0545694	0.00514878	1.473309	0.9408682
258	-1516.133	-1875.081	358.9479	0.5616174	0.783639	0.167436	0.045273	0.00365172	1.602604	0.8161432
264	-1506.396	-1865.435	359.0388	0.5521016	0.802486	0.0674224	0.126495	0.00359662	1.565361	0.7559362
270	-1524.266	-1883.291	359.0243	0.5521016	0.801049	0.0673017	0.125854	0.00579508	1.563444	0.7795015
276	-1533.719	-1892.439	358.72	0.5935325	0.831668	0.119621	0.0408432	0.00786784	1.894368	0.6656919
282	-1537.957	-1896.743	358.7857	0.5935325	0.806782	0.116042	0.0507837	0.0263924	1.794457	0.7265721
288	-1531.638	-1890.403	358.7647	0.5873286	0.763255	0.188306	0.0414483	0.00699093	1.775315	0.7946285
294	-1525.711	-1884.56	358.8491	0.5632851	0.737401	0.237089	0.016049	0.00946023	1.684176	0.8357618
300	-1530.718	-1889.604	358.886	0.5737006	0.671	0.246776	0.0736161	0.00860835	1.748057	0.6677523
306	-1533.55	-1892.567	359.0172	0.4775244	0.698384	0.255665	0.0392894	0.00666135	1.646466	0.7781828
312	-1531.841	-1890.756	358.9149	0.534734	0.661361	0.320272	0.015406	0.00296102	1.684845	0.7875403
318	-1532.934	-1891.763	358.8288	0.5442006	0.600224	0.384947	0.00916999	0.00565906	1.601769	0.9730334
324	-1539.977	-1898.72	358.7436	0.5948145	0.661373	0.312221	0.02017	0.00623559	1.682308	0.9222781
330	-1522.439	-1880.897	358.4582	0.5948145	0.69094	0.288432	0.0157567	0.00487122	1.621813	1.245386
336	-1517.476	-1876.277	358.8006	0.4327593	0.682565	0.284936	0.0275331	0.00496653	1.409565	1.271564
342	-1529.494	-1888.031	358.5373	0.4981005	0.628686	0.330613	0.035697	0.00500354	1.41062	1.430295
348	-1542.301	-1900.507	358.2062	0.5384244	0.668126	0.291439	0.0351175	0.00531743	1.427931	1.633111
354	-1544.566	-1903.976	359.4103	0.4771263	0.821222	0.12428	0.0332732	0.0212248	1.245702	0.7893269
360	-1534.286	-1893.49	359.2041	0.4871567	0.682646	0.24578	0.0489194	0.0226543	1.234847	1.022254
366	-1535.249	-1894.163	358.9136	0.5233959	0.671116	0.268266	0.0520632	0.00855485	1.202677	1.276486
372	-1536.552	-1895.671	359.1194	0.5592654	0.780079	0.16989	0.0412288	0.00880227	1.100596	1.157171
378	-1530.206	-1889.323	359.1169	0.5401033	0.809104	0.125854	0.0363664	0.0286764	1.069341	1.20359
384	-1517.082	-1876.476	359.3934	0.5401033	0.787611	0.122511	0.0619639	0.0279147	1.165716	0.8333333
390	-1517.181	-1876.596	359.4153	0.4523508	0.770734	0.145204	0.0661157	0.017946	1.2571	0.7991583
396	-1507.79	-1867.28	359.4901	0.4343252	0.713202	0.209011	0.0611805	0.0166064	1.057397	0.9634264
402	-1514.003	-1873.414	359.4109	0.4707435	0.770188	0.154467	0.0660689	0.00927623	1.055373	1.011082
408	-1518.49	-1877.775	359.2842	0.4826486	0.802945	0.161036	0.0123442	0.0236744	1.24408	0.9353886
414	-1542.648	-1901.918	359.2703	0.4826486	0.741365	0.190768	0.0144181	0.0534486	1.456215	0.6677443
420	-1522.691	-1882.1	359.4082	0.4467276	0.743898	0.218941	0.0150612	0.0220997	1.323436	0.7201606
426	-1512.128	-1871.229	359.102	0.5089458	0.821364	0.153012	0.00682476	0.018799	1.599994	0.6647016
432	-1532.847	-1891.489	358.6423	0.5059264	0.821364	0.153012	0.00682476	0.018799	2.062642	0.6647016
438	-1510.195	-1869.19	358.9942	0.5059264	0.7033	0.227897	0.0423778	0.0264258	1.68671	0.7089482
444	-1520.197	-1879.563	359.366	0.5324523	0.730691	0.17307	0.0713822	0.0248572	1.190041	0.8467994
450	-1520.847	-1879.752	358.9051	0.6256198	0.920751	0.0326102	0.0386772	0.00796123	1.719161	0.5279824
456	-1517.084	-1875.739	358.6555	0.6187553	0.873343	0.0503682	0.0509523	0.0253367	1.902304	0.3303111
462	-1523.008	-1881.709	358.7009	0.5947108	0.84949	0.0949857	0.03088	0.0246447	1.912929	0.3652461
468	-1528.92	-1887.983	359.0626	0.5806631	0.880877	0.0524679	0.032021	0.0346341	1.609402	0.4776142
474	-1509.12	-1868.116	358.9958	0.6434146	0.871259	0.0740507	0.0378065	0.0168838	1.609402	0.4703787
480	-1520.405	-1879.261	358.8557	0.6434146	0.89842	0.0338025	0.0551826	0.0125947	1.740635	0.4304837
486	-1521.818	-1880.694	358.8763	0.6434146	0.888755	0.0357179	0.0515867	0.0239406	1.720617	0.4324597
492	-1536.07	-1894.978	358.908	0.6019524	0.912216	0.0472622	0.0331928	0.00732855	1.734743	0.4396843
498	-1556.384	-1915.177	358.7935	0.6883335	0.928463	0.0520205	0.0159871	0.00352974	1.759334	0.5593607
504	-1537.109	-1896.292	359.1833	0.5713973	0.896549	0.0736478	0.0268497	0.00295391	1.497878	0.5281643
510	-1541.395	-1900.804	359.4091	0.5129787	0.859449	0.0996479	0.0269569	0.0139457	1.275444	0.6902812
516	-1526.343	-1885.773	359.4308	0.4723796	0.826151	0.142819	0.0138465	0.017183	1.305509	0.6681463
522	-1524.602	-1883.875	359.2722	0.555411	0.919923	0.0514562	0.0143746	0.0142463	1.416692	0.5755559
528	-1540.237	-1899.405	359.1675	0.5867173	0.72237	0.219821	0.042533	0.0152757	1.43087	0.7081871
534	-1523.344	-1882.228	358.8835	0.5956738	0.843505	0.11407	0.0310084	0.0114172	1.420132	1.045807
540	-1516.829	-1876.174	359.345	0.4664302	0.741223	0.213493	0.0105502	0.034734	1.188741	0.9462927
546	-1525.114	-1884.387	359.2732	0.4879288	0.7335	0.211269	0.0208597	0.0343721	1.154014	1.032894
552	-1543.836	-1902.858	359.0229	0.5760378	0.715711	0.224284	0.0243254	0.03568	1.624591	0.3866973
558	-1522.99	-1882.171	359.1811	0.5050075	0.699184	0.219105	0.0237637	0.0579477	1.511149	0.6907113
564	-1507.364	-1866.401	359.0378	0.4634707	0.728082	0.219313	0.0169514	0.0356544	1.473251	0.9729739
570	-1516.013	-1874.895	358.8815	0.589641	0.87457	0.0946932	0.022482	0.00825489	1.290993	1.171146
576	-1514.23	-1873.398	359.1679	0.6141469	0.791369	0.171312	0.00402887	0.0332905	1.411999	0.6900519
582	-1503.781	-1862.815	359.0342	0.6553851	0.842796	0.105336	0.00370059	0.0481677	1.540261	0.6062913
588	-1504.331	-1863.441	359.1095	0.6232997	0.926856	0.0466714	0.00145093	0.0250213	1.509342	0.5718149
594	-1496.135	-1855.452	359.3172	0.5626236	0.887967	0.0549201	0.0262078	0.0309051	1.361863	0.5840407
600	-1502.311	-1861.648	359.337	0.4781282	0.877099	0.0700811	0.0202494	0.0325707	1.427335	0.5840407
606	-1518.088	-1877.267	359.1795	0.5923641	0.892654	0.0910008	0.00868957	0.00765519	1.464294	0.5978077
612	-1518.822	-1877.985	359.1627	0.5386466	0.922968	0.0212448	0.0437651	0.0120217	1.5491	0.4531453
618	-1527.002	-1886.12	359.1179	0.5847439	0.914379	0.00671863	0.0729032	0.00599898	1.5491	0.4706739
624	-1522.042	-1881.175	359.1328	0.5847439	0.772741	0.109256	0.0863839	0.0316193	1.530543	0.5535548
630	-1528.674	-1887.714	359.0399	0.6387962	0.772324	0.117696	0.0909271	0.0190526	1.570554	0.473703
636	-1511.409	-1870.385	358.9755	0.5782513	0.931304	0.0418652	0.018018	0.00881263	1.665656	0.3800468
642	-1515.141	-1874.002	358.8617	0.5533546	0.890801	0.0898719	0.0135869	0.00574032	1.799834	0.3718165
648	-1515.872	-1874.547	358.6751	0.5832983	0.902143	0.0531082	0.0406673	0.00408117	1.894255	0.3076483
654	-1509.572	-1868.605	359.0329	0.5382883	0.863447	0.088532	0.0427921	0.00522848	1.674562	0.4344833
660	-1499.847	-1858.851	359.0035	0.5382883	0.878019	0.0858295	0.0308351	0.00531671	1.656883	0.3502606
666	-1505.66	-1864.208	358.5481	0.4923457	0.863373	0.0843978	0.0362726	0.0159571	1.920926	0.2076335
672	-1497.412	-1855.987	358.5751	0.4923457	0.911531	0.0302193	0.0404545	0.0177948	1.935593	0.2233765
678	-1509.213	-1867.67	358.4567	0.56271	0.89835	0.0494691	0.0208496	0.0313317	2.013632	0.2366236
684	-1499.687	-1858.154	358.4666	0.56271	0.89452	0.062186	0.0296624	0.0136312	2.013225	0.2409544
690	-1506.627	-1864.833	358.2061	0.56271	0.893434	0.0654262	0.0296264	0.0115138	2.225123	0.2202042
696	-1506.811	-1865.582	358.7704	0.56271	0.87346	0.0659938	0.0481072	0.0124392	1.801174	0.2932573
702	-1513.135	-1871.984	358.8486	0.4719373	0.882404	0.0637718	0.041804	0.0120204	1.801174	0.2842106
708	-1506.152	-1865.088	358.9359	0.4690793	0.879624	0.0308921	0.085238	0.00424552	1.745888	0.3051493
714	-1532.476	-1891.323	358.8476	0.5915035	0.888813	0.0365888	0.0713945	0.003204	1.81177	0.4668437
720	-1531.164	-1890.153	358.9892	0.5915035	0.879325	0.0327287	0.0844843	0.00346145	1.672443	0.497376
726	-1519.825	-1879.083	359.2572	0.515288	0.817575	0.0448861	0.131062	0.00647644	1.47588	0.4425028
732	-1522.816	-1882.07	359.2534	0.4892534	0.895151	0.0278597	0.0733636	0.00362527	1.508427	0.4545363
738	-1519.586	-1878.824	359.2383	0.5297923	0.902563	0.0412366	0.0557828	0.000417274	1.472665	0.5904069
744	-1521.476	-1880.622	359.146	0.5355223	0.91183	0.0315588	0.0563555	0.000255372	1.573724	0.5021029
750	-1524.426	-1883.357	358.9302	0.6191207	0.889299	0.0379829	0.0724691	0.000249062	1.481895	0.9093728
756	-1522.191	-1880.999	358.8075	0.6743628	0.872656	0.0572766	0.0692542	0.000813576	1.454809	1.005042
762	-1520.93	-1879.889	358.9597	0.6743628	0.845332	0.131598	0.02055	0.00252022	1.323723	0.9838018
768	-1523.042	-1882.01	358.968	0.6274285	0.841033	0.130928	0.0204455	0.00759353	1.641025	0.5911819
774	-1522.944	-1882.098	359.1542	0.4900912	0.841652	0.131025	0.0197244	0.00759912	1.571407	0.3719536
780	-1522.62	-1881.781	359.1608	0.5509975	0.873613	0.100871	0.0177457	0.00776992	1.537497	0.4495822
786	-1531.53	-1890.78	359.2494	0.5509975	0.834201	0.0951142	0.0627891	0.00789596	1.368235	0.7371521
792	-1544.517	-1903.568	359.0505	0.4840178	0.867202	0.0304541	0.0890791	0.0132649	1.637827	0.732372
798	-1551.432	-1910.341	358.909	0.529007	0.880567	0.0309235	0.0671921	0.021317	1.734313	0.732372
804	-1541.17	-1900.037	358.8672	0.5498922	0.854088	0.025842	0.111611	0.00845889	1.764745	0.716055
810	-1528.806	-1887.659	358.8532	0.5078275	0.84083	0.0532531	0.10324	0.00267675	1.781505	0.7768402
816	-1532.094	-1890.852	358.7581	0.5136952	0.813887	0.0785869	0.0999321	0.00759406	1.921929	0.6970075
822	-1519.874	-1878.653	358.7796	0.5152636	0.834367	0.0805619	0.0782843	0.00678725	1.898837	0.6970075
828	-1521.55	-1880.524	358.974	0.4985943	0.773915	0.091888	0.0892901	0.0449071	1.613852	0.8497298
